            Saldo freq
1         R$ 0,00 3617
2   R$ 100.013,51    1
3   R$ 100.032,52    1
4   R$ 100.047,33    1
5   R$ 100.054,77    1
6   R$ 100.062,16    1
7   R$ 100.062,39    1
8   R$ 100.082,14    1
9   R$ 100.107,99    1
10  R$ 100.116,67    1
11  R$ 100.116,82    1
12  R$ 100.160,75    1
13  R$ 100.169,51    1
14  R$ 100.194,44    1
15  R$ 100.212,13    1
16  R$ 100.238,35    1
17  R$ 100.249,41    1
18  R$ 100.252,18    1
19  R$ 100.254,76    1
20  R$ 100.260,88    1
21  R$ 100.262,88    1
22  R$ 100.267,03    1
23  R$ 100.275,88    1
24  R$ 100.315,10    1
25  R$ 100.337,96    1
26  R$ 100.359,54    1
27  R$ 100.368,63    1
28  R$ 100.374,58    1
29  R$ 100.375,39    1
30  R$ 100.421,10    1
31  R$ 100.431,84    1
32  R$ 100.433,80    1
33  R$ 100.443,36    1
34  R$ 100.446,57    1
35  R$ 100.471,34    1
36  R$ 100.476,46    1
37  R$ 100.480,53    1
38  R$ 100.486,18    1
39  R$ 100.488,92    1
40  R$ 100.520,92    1
41  R$ 100.524,69    1
42  R$ 100.548,67    1
43  R$ 100.549,43    1
44  R$ 100.565,94    1
45  R$ 100.606,02    1
46  R$ 100.628,00    1
47  R$ 100.654,80    1
48  R$ 100.683,54    1
49  R$ 100.717,85    1
50  R$ 100.727,50    1
51  R$ 100.749,50    1
52  R$ 100.755,66    1
53  R$ 100.762,64    1
54  R$ 100.768,77    1
55  R$ 100.781,75    1
56  R$ 100.812,33    1
57  R$ 100.829,94    1
58  R$ 100.880,76    1
59  R$ 100.885,93    1
60  R$ 100.895,54    1
61  R$ 100.900,50    1
62  R$ 100.912,19    1
63  R$ 100.913,57    1
64  R$ 100.946,71    1
65  R$ 100.954,88    1
66  R$ 100.988,39    1
67  R$ 101.012,77    1
68  R$ 101.014,08    1
69  R$ 101.016,53    1
70  R$ 101.043,63    1
71  R$ 101.060,25    1
72  R$ 101.070,69    1
73  R$ 101.084,36    1
74  R$ 101.090,27    1
75  R$ 101.099,90    1
76  R$ 101.100,22    1
77  R$ 101.116,06    1
78  R$ 101.126,66    1
79  R$ 101.134,87    1
80  R$ 101.140,76    1
81  R$ 101.160,99    1
82  R$ 101.179,23    1
83  R$ 101.191,83    1
84  R$ 101.195,23    1
85  R$ 101.198,01    1
86  R$ 101.207,75    1
87  R$ 101.231,77    1
88  R$ 101.238,24    1
89  R$ 101.242,98    1
90  R$ 101.247,06    1
91  R$ 101.257,16    1
92  R$ 101.266,51    1
93  R$ 101.278,25    1
94  R$ 101.286,11    1
95  R$ 101.352,78    1
96  R$ 101.430,30    1
97  R$ 101.438,00    1
98  R$ 101.440,36    1
99  R$ 101.455,70    1
100 R$ 101.457,14    1
101 R$ 101.465,31    1
102 R$ 101.470,29    1
103 R$ 101.486,96    1
104 R$ 101.487,18    1
105 R$ 101.506,66    1
106 R$ 101.514,89    1
107 R$ 101.528,61    1
108 R$ 101.543,51    1
109 R$ 101.579,28    1
110 R$ 101.583,11    1
111 R$ 101.609,01    1
112 R$ 101.609,77    1
113 R$ 101.629,30    1
114 R$ 101.633,04    1
115 R$ 101.641,14    1
116 R$ 101.648,50    1
117 R$ 101.675,22    1
118 R$ 101.707,80    1
119 R$ 101.713,84    1
120 R$ 101.736,66    1
121 R$ 101.744,84    1
122 R$ 101.802,67    1
123 R$ 101.827,07    1
124 R$ 101.851,80    1
125 R$ 101.861,36    1
126 R$ 101.868,51    1
127 R$ 101.891,10    1
128 R$ 101.928,51    1
129 R$ 101.952,97    1
130 R$ 101.960,74    1
131 R$ 101.979,16    1
132 R$ 101.985,81    1
133 R$ 101.993,12    1
134 R$ 102.000,17    1
135 R$ 102.016,38    1
136 R$ 102.016,72    1
137 R$ 102.017,25    1
138 R$ 102.025,08    1
139 R$ 102.025,32    1
140 R$ 102.050,47    1
141 R$ 102.073,67    1
142 R$ 102.085,72    1
143 R$ 102.088,68    1
144 R$ 102.097,33    1
145 R$ 102.128,27    1
146 R$ 102.133,38    1
147 R$ 102.141,90    1
148 R$ 102.143,93    1
149 R$ 102.145,13    1
150 R$ 102.185,42    1
151 R$ 102.238,01    1
152 R$ 102.251,14    1
153 R$ 102.251,57    1
154 R$ 102.258,11    1
155 R$ 102.277,52    1
156 R$ 102.278,79    1
157 R$ 102.282,61    1
158 R$ 102.286,60    1
159 R$ 102.289,85    1
160 R$ 102.290,56    1
161 R$ 102.338,19    1
162 R$ 102.346,86    1
163 R$ 102.365,49    1
164 R$ 102.395,79    1
165 R$ 102.406,76    1
166 R$ 102.452,71    1
167 R$ 102.453,26    1
168 R$ 102.482,76    1
169 R$ 102.486,21    1
170 R$ 102.490,27    1
171 R$ 102.500,34    1
172 R$ 102.520,37    1
173 R$ 102.523,88    1
174 R$ 102.535,57    1
175 R$ 102.540,61    1
176 R$ 102.541,10    1
177 R$ 102.556,18    1
178 R$ 102.562,23    1
179 R$ 102.575,04    1
180 R$ 102.585,88    1
181 R$ 102.603,30    1
182 R$ 102.609,00    1
183 R$ 102.630,13    1
184 R$ 102.645,48    1
185 R$ 102.703,62    1
186 R$ 102.708,77    1
187 R$ 102.714,65    1
188 R$ 102.721,49    1
189 R$ 102.723,35    1
190 R$ 102.741,15    1
191 R$ 102.742,91    1
192 R$ 102.749,72    1
193 R$ 102.768,42    1
194 R$ 102.772,67    1
195 R$ 102.773,15    1
196 R$ 102.773,20    1
197 R$ 102.785,16    1
198 R$ 102.787,42    1
199 R$ 102.800,65    1
200 R$ 102.800,72    1
201 R$ 102.827,44    1
202 R$ 102.833,46    1
203 R$ 102.870,93    1
204 R$ 102.874,28    1
205 R$ 102.882,40    1
206 R$ 102.895,10    1
207 R$ 102.918,38    1
208 R$ 102.936,72    1
209 R$ 102.945,01    1
210 R$ 102.954,68    1
211 R$ 102.955,14    1
212 R$ 102.962,62    1
213 R$ 102.967,41    1
214 R$ 102.980,44    1
215 R$ 102.983,91    1
216 R$ 102.989,83    1
217 R$ 102.994,04    1
218 R$ 103.000,94    1
219 R$ 103.015,12    1
220 R$ 103.018,45    1
221 R$ 103.023,26    1
222 R$ 103.033,83    1
223 R$ 103.060,63    1
224 R$ 103.097,85    1
225 R$ 103.099,17    1
226 R$ 103.101,56    1
227 R$ 103.108,17    1
228 R$ 103.108,80    1
229 R$ 103.121,33    1
230 R$ 103.133,26    1
231 R$ 103.138,17    1
232 R$ 103.154,66    1
233 R$ 103.163,35    1
234 R$ 103.176,62    1
235 R$ 103.195,20    1
236 R$ 103.210,27    1
237 R$ 103.214,71    1
238 R$ 103.219,47    1
239 R$ 103.244,86    1
240 R$ 103.257,14    1
241 R$ 103.267,80    1
242 R$ 103.291,25    1
243 R$ 103.294,56    1
244 R$ 103.302,37    1
245 R$ 103.324,78    1
246 R$ 103.362,14    1
247 R$ 103.377,81    1
248 R$ 103.391,38    1
249 R$ 103.399,87    1
250 R$ 103.409,16    1
251 R$ 103.417,74    1
252 R$ 103.421,32    1
253 R$ 103.430,11    1
254 R$ 103.457,76    1
255 R$ 103.465,02    1
256 R$ 103.471,52    1
257 R$ 103.499,09    1
258 R$ 103.502,22    1
259 R$ 103.515,39    1
260 R$ 103.516,87    1
261 R$ 103.522,75    1
262 R$ 103.544,88    1
263 R$ 103.549,24    1
264 R$ 103.560,57    1
265 R$ 103.564,83    1
266 R$ 103.583,05    1
267 R$ 103.604,31    1
268 R$ 103.607,24    1
269 R$ 103.653,51    1
270 R$ 103.688,19    1
271 R$ 103.696,97    1
272 R$ 103.700,69    1
273 R$ 103.711,56    1
274 R$ 103.729,79    1
275 R$ 103.741,14    1
276 R$ 103.769,22    1
277 R$ 103.772,45    1
278 R$ 103.804,97    1
279 R$ 103.818,43    1
280 R$ 103.821,47    1
281 R$ 103.837,75    1
282 R$ 103.846,65    1
283 R$ 103.873,39    1
284 R$ 103.894,38    1
285 R$ 103.895,31    1
286 R$ 103.907,28    1
287 R$ 103.909,86    1
288 R$ 103.914,17    1
289 R$ 103.960,38    1
290 R$ 103.996,74    1
291 R$ 104.001,38    1
292 R$ 104.013,79    1
293 R$ 104.015,54    1
294 R$ 104.016,88    1
295 R$ 104.077,19    1
296 R$ 104.088,59    1
297 R$ 104.091,29    1
298 R$ 104.118,50    1
299 R$ 104.129,24    1
300 R$ 104.145,65    1
301 R$ 104.149,66    1
302 R$ 104.158,84    1
303 R$ 104.217,30    1
304 R$ 104.254,27    1
305 R$ 104.255,03    1
306 R$ 104.258,80    1
307 R$ 104.267,70    1
308 R$ 104.291,41    1
309 R$ 104.305,74    1
310 R$ 104.308,77    1
311 R$ 104.336,43    1
312 R$ 104.339,11    1
313 R$ 104.339,56    1
314 R$ 104.349,45    1
315 R$ 104.356,38    1
316 R$ 104.356,94    1
317 R$ 104.367,50    1
318 R$ 104.386,53    1
319 R$ 104.405,54    1
320 R$ 104.414,03    1
321 R$ 104.430,08    1
322 R$ 104.449,80    1
323 R$ 104.450,86    1
324 R$ 104.469,58    1
325 R$ 104.478,12    1
326 R$ 104.488,17    1
327 R$ 104.498,79    1
328 R$ 104.502,11    1
329 R$ 104.508,10    1
330 R$ 104.508,77    1
331 R$ 104.533,24    1
332 R$ 104.552,61    1
333 R$ 104.552,72    1
334 R$ 104.568,41    1
335 R$ 104.584,11    1
336 R$ 104.584,16    1
337 R$ 104.592,55    1
338 R$ 104.614,29    1
339 R$ 104.631,67    1
340 R$ 104.677,09    1
341 R$ 104.678,62    1
342 R$ 104.682,83    1
343 R$ 104.702,65    1
344 R$ 104.719,94    1
345 R$ 104.744,89    1
346 R$ 104.753,84    1
347 R$ 104.760,82    1
348 R$ 104.763,41    1
349 R$ 104.783,81    1
350 R$ 104.784,23    1
351 R$ 104.796,54    1
352 R$ 104.817,41    1
353 R$ 104.822,45    1
354 R$ 104.832,49    1
355 R$ 104.833,79    1
356 R$ 104.848,68    1
357 R$ 104.857,19    1
358 R$ 104.887,43    1
359 R$ 104.911,35    1
360 R$ 104.930,38    1
361 R$ 104.944,10    1
362 R$ 104.947,72    1
363 R$ 104.960,46    1
364 R$ 104.982,57    1
365 R$ 105.000,23    1
366 R$ 105.000,85    1
367 R$ 105.007,31    1
368 R$ 105.021,28    1
369 R$ 105.056,13    1
370 R$ 105.057,33    1
371 R$ 105.061,74    1
372 R$ 105.069,98    1
373 R$ 105.082,07    1
374 R$ 105.086,74    1
375 R$ 105.099,45    1
376 R$ 105.102,50    1
377 R$ 105.103,33    1
378 R$ 105.128,85    1
379 R$ 105.163,88    1
380 R$ 105.173,99    1
381 R$ 105.204,01    1
382 R$ 105.206,70    1
383 R$ 105.209,54    1
384 R$ 105.214,58    1
385 R$ 105.222,86    1
386 R$ 105.229,34    1
387 R$ 105.229,53    1
388 R$ 105.229,72    1
389 R$ 105.239,10    1
390 R$ 105.245,21    1
391 R$ 105.245,34    1
392 R$ 105.249,76    1
393 R$ 105.261,76    1
394 R$ 105.264,88    1
395 R$ 105.266,32    1
396 R$ 105.271,56    1
397 R$ 105.301,50    1
398 R$ 105.302,66    1
399 R$ 105.303,73    1
400 R$ 105.317,73    1
401 R$ 105.346,03    1
402 R$ 105.355,81    1
403 R$ 105.356,09    1
404 R$ 105.387,89    1
405 R$ 105.397,80    1
406 R$ 105.405,97    1
407 R$ 105.419,73    1
408 R$ 105.420,18    1
409 R$ 105.426,50    1
