ID_Cliente,Nota_Credito,Pais,Genero,Idade,Tempo_de_Conta,Saldo,Numero_Produtos,Cartao_Credito,Membro_Ativo,Salario,Abandonou
15634602,619,France,Female,42,2,"R$ 0,00",1,1,1,"R$ 101.348,88",1
15647311,608,Spain,Female,41,1,"R$ 83.807,86",1,0,1,"R$ 112.542,58",0
15619304,502,France,Female,42,8,"R$ 159.660,80",3,1,0,"R$ 113.931,57",1
15701354,699,France,Female,39,1,"R$ 0,00",2,0,0,"R$ 93.826,63",0
15737888,850,Spain,Female,43,2,"R$ 125.510,82",1,1,1,"R$ 79.084,10",0
15574012,645,Spain,Male,44,8,"R$ 113.755,78",2,1,0,"R$ 149.756,71",1
15592531,822,France,Male,50,7,"R$ 0,00",2,1,1,"R$ 10.062,80",0
15656148,376,Germany,Female,29,4,"R$ 115.046,74",4,1,0,"R$ 119.346,88",1
15792365,501,France,Male,44,4,"R$ 142.051,07",2,0,1,"R$ 74.940,50",0
15592389,684,France,Male,27,2,"R$ 134.603,88",1,1,1,"R$ 71.725,73",0
15767821,528,France,Male,31,6,"R$ 102.016,72",2,0,0,"R$ 80.181,12",0
15737173,497,Spain,Male,24,3,"R$ 0,00",2,1,0,"R$ 76.390,01",0
15632264,476,France,Female,34,10,"R$ 0,00",2,1,0,"R$ 26.260,98",0
15691483,549,France,Female,25,5,"R$ 0,00",2,0,0,"R$ 190.857,79",0
15600882,635,Spain,Female,35,7,"R$ 0,00",2,1,1,"R$ 65.951,65",0
15643966,616,Germany,Male,45,3,"R$ 143.129,41",2,0,1,"R$ 64.327,26",0
15737452,653,Germany,Male,58,1,"R$ 132.602,88",1,1,0,"R$ 5.097,67",1
15788218,549,Spain,Female,24,9,"R$ 0,00",2,1,1,"R$ 14.406,41",0
15661507,587,Spain,Male,45,6,"R$ 0,00",1,0,0,"R$ 158.684,81",0
15568982,726,France,Female,24,6,"R$ 0,00",2,1,1,"R$ 54.724,03",0
15577657,732,France,Male,41,8,"R$ 0,00",2,1,1,"R$ 170.886,17",0
15597945,636,Spain,Female,32,8,"R$ 0,00",2,1,0,"R$ 138.555,46",0
15699309,510,Spain,Female,38,4,"R$ 0,00",1,1,0,"R$ 118.913,53",1
15725737,669,France,Male,46,3,"R$ 0,00",2,0,1,"R$ 8.487,75",0
15625047,846,France,Female,38,5,"R$ 0,00",1,1,1,"R$ 187.616,16",0
15738191,577,France,Male,25,3,"R$ 0,00",2,0,1,"R$ 124.508,29",0
15736816,756,Germany,Male,36,2,"R$ 136.815,64",1,1,1,"R$ 170.041,95",0
15700772,571,France,Male,44,9,"R$ 0,00",2,0,0,"R$ 38.433,35",0
15728693,574,Germany,Female,43,3,"R$ 141.349,43",1,1,1,"R$ 100.187,43",0
15656300,411,France,Male,29,0,"R$ 59.697,17",2,1,1,"R$ 53.483,21",0
15589475,591,Spain,Female,39,3,"R$ 0,00",3,1,0,"R$ 140.469,38",1
15706552,533,France,Male,36,7,"R$ 85.311,70",1,0,1,"R$ 156.731,91",0
15750181,553,Germany,Male,41,9,"R$ 110.112,54",2,0,0,"R$ 81.898,81",0
15659428,520,Spain,Female,42,6,"R$ 0,00",2,1,1,"R$ 34.410,55",0
15732963,722,Spain,Female,29,9,"R$ 0,00",2,1,1,"R$ 142.033,07",0
15794171,475,France,Female,45,0,"R$ 134.264,04",1,1,0,"R$ 27.822,99",1
15788448,490,Spain,Male,31,3,"R$ 145.260,23",1,0,1,"R$ 114.066,77",0
15729599,804,Spain,Male,33,7,"R$ 76.548,60",1,0,1,"R$ 98.453,45",0
15717426,850,France,Male,36,7,"R$ 0,00",1,1,1,"R$ 40.812,90",0
15585768,582,Germany,Male,41,6,"R$ 70.349,48",2,0,1,"R$ 178.074,04",0
15619360,472,Spain,Male,40,4,"R$ 0,00",1,1,0,"R$ 70.154,22",0
15738148,465,France,Female,51,8,"R$ 122.522,32",1,0,0,"R$ 181.297,65",1
15687946,556,France,Female,61,2,"R$ 117.419,35",1,1,1,"R$ 94.153,83",0
15755196,834,France,Female,49,2,"R$ 131.394,56",1,0,0,"R$ 194.365,76",1
15684171,660,Spain,Female,61,5,"R$ 155.931,11",1,1,1,"R$ 158.338,39",0
15754849,776,Germany,Female,32,4,"R$ 109.421,13",2,1,1,"R$ 126.517,46",0
15602280,829,Germany,Female,27,9,"R$ 112.045,67",1,1,1,"R$ 119.708,21",1
15771573,637,Germany,Female,39,9,"R$ 137.843,80",1,1,1,"R$ 117.622,80",1
15766205,550,Germany,Male,38,2,"R$ 103.391,38",1,0,1,"R$ 90.878,13",0
15771873,776,Germany,Female,37,2,"R$ 103.769,22",2,1,0,"R$ 194.099,12",0
15616550,698,Germany,Male,44,10,"R$ 116.363,37",2,1,0,"R$ 198.059,16",0
15768193,585,Germany,Male,36,5,"R$ 146.050,97",2,0,0,"R$ 86.424,57",0
15683553,788,France,Female,33,5,"R$ 0,00",2,0,0,"R$ 116.978,19",0
15702298,655,Germany,Male,41,8,"R$ 125.561,97",1,0,0,"R$ 164.040,94",1
15569590,601,Germany,Male,42,1,"R$ 98.495,72",1,1,0,"R$ 40.014,76",1
15760861,619,France,Male,43,1,"R$ 125.211,92",1,1,1,"R$ 113.410,49",0
15630053,656,France,Male,45,5,"R$ 127.864,40",1,1,0,"R$ 87.107,57",0
15647091,725,Germany,Male,19,0,"R$ 75.888,20",1,0,0,"R$ 45.613,75",0
15623944,511,Spain,Female,66,4,"R$ 0,00",1,1,0,"-R$ 93,561,00",1
15804771,614,France,Male,51,4,"R$ 40.685,92",1,1,1,"R$ 46.775,28",0
15651280,742,Germany,Male,35,5,"R$ 136.857,00",1,0,0,"R$ 84.509,57",0
15773469,687,Germany,Female,27,9,"R$ 152.328,88",2,0,0,"R$ 126.494,82",0
15702014,555,Spain,Male,33,1,"R$ 56.084,69",2,0,0,"R$ 178.798,13",0
15751208,684,Spain,Male,56,8,"R$ 78.707,16",1,1,1,"R$ 99.398,36",0
15592461,603,Germany,Male,26,4,"R$ 109.166,37",1,1,1,"R$ 92.840,67",0
15789484,751,Germany,Female,36,6,"R$ 169.831,46",2,1,1,"R$ 27.758,36",0
15696061,581,Germany,Female,34,1,"R$ 101.633,04",1,1,0,"R$ 110.431,51",0
15641582,735,Germany,Male,43,10,"R$ 123.180,01",2,1,1,"R$ 196.673,28",0
15638424,661,Germany,Female,35,5,"R$ 150.725,53",2,0,1,"R$ 113.656,85",0
15755648,675,France,Female,21,8,"R$ 98.373,26",1,1,0,"R$ 18,203,00",0
15703793,738,Germany,Male,58,2,"R$ 133.745,44",4,1,0,"R$ 28.373,86",1
15620344,813,France,Male,29,6,"R$ 0,00",1,1,0,"R$ 33.953,87",0
15812518,657,Spain,Female,37,0,"R$ 163.607,18",1,0,1,"R$ 44.203,55",0
15779052,604,Germany,Female,25,5,"R$ 157.780,84",2,1,1,"R$ 58.426,81",0
15770811,519,France,Male,36,9,"R$ 0,00",2,0,1,"R$ 145.562,40",0
15780961,735,France,Female,21,1,"R$ 178.718,19",2,1,0,"R$ 22,388,00",0
15614049,664,France,Male,55,8,"R$ 0,00",2,1,1,"R$ 139.161,64",0
15662085,678,France,Female,32,9,"R$ 0,00",1,1,1,"R$ 148.210,64",0
15575185,757,Spain,Male,33,5,"R$ 77.253,22",1,0,1,"R$ 194.239,63",0
15803136,416,Germany,Female,41,10,"R$ 122.189,66",2,1,0,"R$ 98.301,61",0
15706021,665,France,Female,34,1,"R$ 96.645,54",2,0,0,"R$ 171.413,66",0
15663706,777,France,Female,32,2,"R$ 0,00",1,1,0,"R$ 136.458,19",1
15641732,543,France,Female,36,3,"R$ 0,00",2,0,0,"R$ 26.019,59",0
15701164,506,France,Female,34,4,"R$ 90.307,62",1,1,1,"R$ 159.235,29",0
15738751,493,France,Female,46,4,"R$ 0,00",2,1,0,"R$ 1.907,66",0
15805254,652,Spain,Female,75,10,"R$ 0,00",2,1,1,"R$ 114.675,75",0
15762418,750,Spain,Male,22,3,"R$ 121.681,82",1,1,0,"R$ 128.643,35",1
